item_name,price,shop,image
荣耀Play4T 全网通6GB+128GB大内存 幻夜黑 4000mAh大电池 4800万AI摄影  6.3英寸魅眼屏,1199.00,荣耀京东自营旗舰店,https://img10.360buyimg.com/n7/jfs/t1/105732/27/17609/262062/5e8c49e0E88ebfa8b/3b57d0fc68f3baf1.jpg
Redmi 8A 5000mAh大电量 大字体大音量大内存 骁龙八核处理器 AI人脸解锁 莱茵护眼全面屏 4GB+64GB 耀夜黑 游戏智能老人手机 小米 红米,699.00,小米京东自营旗舰店,https://img11.360buyimg.com/n7/jfs/t1/54085/1/13732/194509/5da6d50fE32d0191a/68d0ac29ce4a326d.jpg
荣耀Play4T Pro 麒麟810芯片 OLED屏幕指纹 4800万高感光夜拍三摄 22.5W超级快充 全网通6GB+128GB 冰岛幻境,1499.00,荣耀京东自营旗舰店,https://img11.360buyimg.com/n7/jfs/t1/104812/35/17303/242507/5e848fb1E2c1d6eff/d2db1412dcce1d96.jpg
荣耀Play3 6.39英寸魅眼全视屏 4000mAh大电池 真4800万AI三摄 麒麟710F自研芯片 畅玩全网通6GB+64GB 幻夜黑,989.00,荣耀京东自营旗舰店,https://img13.360buyimg.com/n7/jfs/t1/46183/7/15394/240626/5dc41505E8695eb48/96717b886222b91b.jpg
荣耀9X 麒麟810 4000mAh续航 4800万超清夜拍 6.59英寸升降全面屏 全网通6GB+64GB 魅海蓝,1289.00,荣耀京东自营旗舰店,https://img12.360buyimg.com/n7/jfs/t1/45124/2/5820/397999/5d36c0cdEda359655/61f65ac6aae3146b.jpg
荣耀20青春版 AMOLED屏幕指纹 4000mAh大电池 20W快充 4800万 手机 6GB+64GB 冰岛幻境,1189.00,荣耀京东自营旗舰店,https://img13.360buyimg.com/n7/jfs/t1/76587/14/12877/497285/5da51d7cEbb0bf38c/0f96fe7f6a8596a0.jpg
Redmi Note8 4800万全场景四摄 4000mAh长续航 高通骁龙665 18W快充 小金刚品质保证 4GB+64GB 皓月白 游戏智能手机 小米 红米,899.00,小米京东自营旗舰店,https://img14.360buyimg.com/n7/jfs/t1/65786/38/8555/351173/5d674913E0a3b51f6/8d2e3fadc4cfac3c.jpg
荣耀30S 麒麟820 5G芯片 3倍光学变焦 20倍数字变焦 全网通版8GB+128GB 蝶羽白,2389.00,荣耀京东自营旗舰店,https://img10.360buyimg.com/n7/jfs/t1/114717/38/6659/123673/5ebbd177Ed621712b/ccfec8fb9de3c859.jpg
Apple iPhone 11 (A2223) 128GB 白色 移动联通电信4G手机 双卡双待,5999.00,Apple产品京东自营旗舰店,https://img10.360buyimg.com/n7/jfs/t1/107903/25/18182/169414/5ebe5ab6E7159cdd7/e1f69c3649f58861.jpg
荣耀畅玩9A 6.3英寸珍珠全面屏 震撼大音量 4GB+64GB 蓝水翡翠 移动联通电信4G全面屏手机 双卡双待,899.00,荣耀京东自营旗舰店,https://img14.360buyimg.com/n7/jfs/t1/91386/40/16416/191394/5e79876fEdfa97082/94a6e4a559d3619a.jpg
vivo U3x 4GB+64GB 深湖蓝 5000mAh大电池 18W双引擎闪充 超广角AI三摄 骁龙665处理器 全网通4G手机,949.00,vivo京东自营官方旗舰店,https://img11.360buyimg.com/n7/jfs/t1/57351/6/11206/263380/5d82fdc9E37047c60/48c0bc3ce79c7a07.jpg
