time,title,url
(2018年11月20日 18:26),"这支台军部队 竟被台网友臆想成大陆火箭军""克星",http://mil.news.sina.com.cn/china/2018-11-20/doc-ihmutuec2014243.shtml
(2018年11月20日 18:04),我军战士扫雷失去双手双眼后 还反过来安慰心理医,http://mil.news.sina.com.cn/china/2018-11-20/doc-ihnyuqhi4838841.shtml
(2018年11月20日 16:24),美里根号曾多次访港 航母外交背后却是遏制中国方,http://mil.news.sina.com.cn/china/2018-11-20/doc-ihnyuqhi4665125.shtml
(2018年11月20日 16:17),俄军苏57弹仓之谜解开：尺寸巨大 细节比歼20差太,http://mil.news.sina.com.cn/china/2018-11-20/doc-ihnyuqhi4652834.shtml
(2018年11月20日 15:17),美军核航母编队正常停靠香港 台媒却给自己强行加,http://mil.news.sina.com.cn/china/2018-11-20/doc-ihnyuqhi4540716.shtml
(2018年11月20日 15:08),美媒：美军里根号航母进入中国南海 与多艘美舰会,http://mil.news.sina.com.cn/china/2018-11-20/doc-ihmutuec1949400.shtml
(2018年11月20日 14:59),台媒评美军里根号航母进南海 刻意强调在台选举前,http://mil.news.sina.com.cn/china/2018-11-20/doc-ihnyuqhi4504948.shtml
(2018年11月20日 14:52),美国里根号航母编队将访问香港 相关行动已获批,http://mil.news.sina.com.cn/china/2018-11-20/doc-ihnyuqhi4490460.shtml
(2018年11月20日 14:30),韩媒：中韩两国时隔2年后重启渔业联合巡,http://mil.news.sina.com.cn/china/2018-11-20/doc-ihnyuqhi4445393.shtml
(2018年11月20日 14:03),美军里根号航母编队进南海 明日将停靠中国香,http://mil.news.sina.com.cn/china/2018-11-20/doc-ihnyuqhi4395830.shtml
(2018年11月20日 13:24),中国歼10B超机动能力有一先天缺陷 距离实战还很,http://mil.news.sina.com.cn/2018-11-20/doc-ihmutuec1914473.shtml
(2018年11月20日 12:32),"日本计划成立""宇宙部队"" 暂不谋求打击他国导弹基",http://mil.news.sina.com.cn/china/2018-11-20/doc-ihmutuec1900364.shtml
(2018年11月20日 12:00),中国最大LNG船研制成功 建造难度堪比航,http://mil.news.sina.com.cn/china/2018-11-20/doc-ihmutuec1889903.shtml
(2018年11月20日 11:47),从千岛湖舰看我军补给能力：61天为22艘次舰船补,http://mil.news.sina.com.cn/china/2018-11-20/doc-ihnyuqhi4157641.shtml
(2018年11月20日 11:42),蔡英文干这事或被出国际奥委会 美国也帮不上,http://mil.news.sina.com.cn/china/2018-11-20/doc-ihnyuqhi4146762.shtml
(2018年11月20日 11:40),中国向阿根廷赠送猛士军车及摩托 助其G20安保工,http://mil.news.sina.com.cn/china/2018-11-20/doc-ihmutuec1882096.shtml
(2018年11月20日 11:05),中国千岛湖舰曾在恶劣海况补给神盾舰 两舰几乎相,http://mil.news.sina.com.cn/2018-11-20/doc-ihnyuqhi4056856.shtml
(2018年11月20日 11:00),美军里根号航母编队进入中国南海(图,http://mil.news.sina.com.cn/china/2018-11-20/doc-ihnyuqhi4042455.shtml
(2018年11月20日 10:54),中国北斗三号星座部署完成 19颗卫星助北斗走向全,http://mil.news.sina.com.cn/2018-11-20/doc-ihnyuqhi4030605.shtml
(2018年11月20日 10:19),美军已在中国周边部署两支航母编队 对俄方向却没,http://mil.news.sina.com.cn/china/2018-11-20/doc-ihnyuqhi3947221.shtml
(2018年11月20日 10:14),美军航母突然驶抵地中海 还有两支航母编队在中国周,http://news.sina.com.cn/bn/mil/2018-11-20/doc-ihmutuec1842635.shtml
(2018年11月20日 09:41),中国这位退伍女兵了不起 5年随战舰到访五大洲(图,http://mil.news.sina.com.cn/china/2018-11-20/doc-ihmutuec1829068.shtml
(2018年11月20日 09:25),英媒：中国出资20亿美元改造前美驻菲律宾军事基,http://mil.news.sina.com.cn/china/2018-11-20/doc-ihmutuec1822650.shtml
(2018年11月20日 09:22),中国今年已完成十次北斗卫星发射 全流程时间缩短1/,http://mil.news.sina.com.cn/china/2018-11-20/doc-ihmutuec1821372.shtml
(2018年11月20日 09:11),中国北斗导航系统组网速度有多快：1年就射10箭18,http://mil.news.sina.com.cn/china/2018-11-20/doc-ihnyuqhi3812712.shtml
(2018年11月20日 08:53),彩虹10倾转旋翼机用途解析：或成为中国航母的眼,http://mil.news.sina.com.cn/china/2018-11-20/doc-ihnyuqhi3784389.shtml
(2018年11月20日 08:44),一箭五星：中国成功发射试验六号及四颗微纳卫,http://mil.news.sina.com.cn/2018-11-20/doc-ihnyuqhi3772214.shtml
(2018年11月20日 08:42),奔驰APP标“中国台湾”台独抗议 回应:我们一贯如,http://mil.news.sina.com.cn/china/2018-11-20/doc-ihmutuec1807597.shtml
(2018年11月20日 08:38),台湾“独派”鼓噪“东奥正名公投” 美方：信守一,http://mil.news.sina.com.cn/2018-11-20/doc-ihnyuqhi3764707.shtml
(2018年11月20日 08:30),台湾名将对“奥运正名”说不：别拿运动员未来当赌,http://mil.news.sina.com.cn/china/2018-11-20/doc-ihmutuec1804252.shtml
(2018年11月20日 07:29),中国是否会说服巴新拒绝澳美建军事基地？中方回,http://mil.news.sina.com.cn/china/2018-11-20/doc-ihnyuqhi3699976.shtml
(2018年11月20日 07:25),中国渔船在东海沉没5人失联 中日均派飞机搜,http://mil.news.sina.com.cn/china/2018-11-20/doc-ihmutuec1791700.shtml
(2018年11月20日 07:19),彭斯担忧中国在柬埔寨建海军基地 柬首相：歪曲事,http://mil.news.sina.com.cn/china/2018-11-20/doc-ihmutuec1790776.shtml
(2018年11月20日 02:47),美澳将重建巴新军事基地系针对中国？澳国防部长否,http://mil.news.sina.com.cn/2018-11-20/doc-ihnyuqhi3584858.shtml
(2018年11月19日 18:54),铭记中国23位两弹一星勋章获得者 如今仅有四位在,http://mil.news.sina.com.cn/china/2018-11-19/doc-ihnyuqhi3121816.shtml
(2018年11月19日 18:17),台军心战喊话被叫停 台网友：亲爱的共军我们认输,http://mil.news.sina.com.cn/china/2018-11-19/doc-ihnyuqhi3068074.shtml
(2018年11月19日 18:12),军报原副总编谈军队战斗力:对越自卫还击战留教,http://mil.news.sina.com.cn/china/2018-11-19/doc-ihnyuqhi3057867.shtml
(2018年11月19日 18:05),多国军官来中国海淘武器：阿联酋关注彩虹无人机(图,http://mil.news.sina.com.cn/china/2018-11-19/doc-ihmutuec1677663.shtml
(2018年11月19日 17:39),"中国外交官""强闯巴新外长办公室""？耿爽:你觉得可能",http://mil.news.sina.com.cn/2018-11-19/doc-ihnyuqhi3002032.shtml
(2018年11月19日 17:02),中国为何一定要搞北斗系统 GPS曾让我舰船海上迷,http://mil.news.sina.com.cn/china/2018-11-19/doc-ihnyuqhi2933108.shtml
