股票代码,股票简称,股票现价,涨跌幅(%),涨跌,涨速,换手
688365,光云科技,57.76,20.01,9.63,0.00,54.75
688039,当虹科技,100.00,10.85,9.79,0.12,10.99
000732,泰禾集团,4.68,10.12,0.43,0.00,3.01
300350,华鹏飞,3.81,10.12,0.35,0.00,1.15
600662,强生控股,4.58,10.10,0.42,0.00,0.10
300106,西部牧业,7.10,10.08,0.65,0.00,6.80
002141,贤丰控股,3.28,10.07,0.30,0.00,2.40
600360,华微电子,8.86,10.06,0.81,0.00,10.20
600250,南纺股份,5.58,10.06,0.51,0.00,4.06
002204,大连重工,4.82,10.05,0.44,0.00,10.95
002400,省广集团,7.23,10.05,0.66,0.00,24.88
300293,蓝英装备,9.75,10.04,0.89,0.00,6.72
002046,轴研科技,11.95,10.04,1.09,0.00,19.62
002492,恒基达鑫,6.14,10.04,0.56,0.00,5.87
600602,云赛智联,8.01,10.03,0.73,0.00,2.08
603900,莱绅通灵,7.90,10.03,0.72,0.00,2.57
300712,永福股份,16.24,10.03,1.48,0.00,13.05
300660,江苏雷利,17.23,10.03,1.57,0.00,10.35
300203,聚光科技,14.27,10.02,1.30,0.00,4.63
600506,香梨股份,9.44,10.02,0.86,0.00,4.15
603929,亚翔集成,16.80,10.02,1.53,0.00,6.99
002397,梦洁股份,7.03,10.02,0.64,0.00,1.26
603229,奥翔药业,37.46,10.02,3.41,0.00,1.81
603336,宏辉果蔬,19.01,10.01,1.73,0.00,9.73
000158,常山北明,11.21,10.01,1.02,0.00,8.41
002987,京北方,58.80,10.01,5.35,0.00,0.69
002985,北摩高科,76.51,10.01,6.96,0.00,0.50
002581,未名医药,29.90,10.01,2.72,0.00,15.79
002983,芯瑞达,48.48,10.01,4.41,0.00,38.78
300816,艾可蓝,49.26,10.01,4.48,0.00,24.43
300769,德方纳米,163.96,10.00,14.91,0.00,8.99
603881,数据港,72.25,10.00,6.57,0.00,4.87
300832,新产业,60.16,10.00,5.47,0.00,0.15
300260,新莱应材,16.39,10.00,1.49,0.00,3.41
000987,越秀金控,11.66,10.00,1.06,0.00,2.06
300139,晓程科技,7.48,10.00,0.68,0.00,9.39
002824,和胜股份,21.01,10.00,1.91,0.00,10.53
300661,圣邦股份,391.05,10.00,35.55,0.00,3.23
600962,国投中鲁,9.02,10.00,0.82,0.00,2.76
600239,云南城投,3.52,10.00,0.32,0.00,8.08
